發言日期,發言時間,公司代號,公司名稱,主旨,ret
2020-05-25,17:32:14,3202,樺晟,本公司董事會決議發行國內第四次有擔保轉換公司債相關事宜,
2020-05-25,17:36:51,3202,樺晟,"公告本公司董事會決議發行本公司國內第四次有擔保轉換公司債
轉投資世紀樺欣風能股份有限公司",
2020-06-04,18:00:00,2618,長榮航,"補充說明本公司於109年5月13日公告董事會決議發行
國內第四次無擔保轉換公司債事宜",
2020-06-04,17:11:06,8104,錸寶,公告本公司董事會決議發行國內第一次無擔保可轉換公司債,
2020-06-12,16:04:02,6130,上亞科技,"本公司董事會決議發行國內第一次
有擔保轉換公司債",
2020-06-18,14:11:38,1338,廣華-KY,公告本公司董事會決議發行中華民國境內第一次無擔保轉換公司債,
2020-07-08,17:53:27,5263,智崴,公告本公司董事會決議發行國內第四次無擔保轉換公司債,
2020-07-09,17:47:42,2603,長榮,公告本公司董事會決議發行海外第一次無擔保轉換公司債,
2020-07-17,17:22:43,6441,廣錠,董事會決議發行國內第三次有擔保轉換公司債,
2020-07-22,16:31:29,8050,廣積,董事會決議發行國內第五次無擔保轉換公司債,
2020-07-28,15:40:27,4763,材料-KY,董事會決議發行中華民國境內第二次無擔保轉換公司債,
2020-08-05,17:16:04,6477,安集,公告本公司董事會決議發行國內第二次無擔保轉換公司債。,
2020-08-07,16:00:17,1593,祺驊,本公司董事會決議發行國內第二次無擔保可轉換公司債,
2020-08-10,17:39:19,3711,日月光投控,"代子公司環旭電子股份有限公司公告董事會決議發行109年
度無擔保可轉換公司債券",
2020-08-11,14:49:42,6629,泰金-KY,"更正公告本公司董事會決議發行中華民國境內
第一次無擔保轉換公司債發行總額",
2020-08-11,16:02:07,8929,富堡,本公司董事會決議發行國內第二次無擔保轉換公司債。,
2020-08-11,16:27:45,6629,泰金-KY,"更正公告本公司董事會決議發行中華民國境內
第一次無擔保轉換公司債發行總額內容",
2020-08-12,15:39:08,1316,上曜,"公告變更本公司董事會決議發行國內「第四次有擔保轉換公司
債」及「第五次無擔保轉換公司債」之資金用途",
2020-08-12,15:41:17,3230,錦明,"公告本公司董事會決議發行私募普通股及/或私募有/無擔保
國內轉換公司債",
2020-08-19,16:02:06,8927,北基,董事會決議發行國內第五次有擔保轉換公司債,
2020-09-01,18:32:10,6441,廣錠,董事會決議發行國內第四次有擔保轉換公司債,
2020-09-01,18:31:12,6441,廣錠,"公告本公司擬變更109年7月17日董事會決議發行國內第三次
有擔保轉換公司債",
2020-09-11,14:25:24,5546,永固-KY,董事會決議發行中華民國境內第一次無擔保轉換公司債,
2020-09-29,14:59:10,8070,長華*,本公司董事會決議發行國內第四次無擔保轉換公司債,
2020-09-30,18:07:04,6196,帆宣,公告董事會決議發行國內第四次無擔保可轉換公司債,
2020-09-30,15:36:26,2726,雅茗-KY,"公告本公司董事會決議發行中華民國境內第二次有擔保可
轉換公司債相關事宜",
2020-10-05,18:10:06,4807,日成-KY,"公告本公司董事會決議發行中華民國境內
第一次無擔保轉換公司債",
2020-10-06,17:50:12,3141,晶宏,本公司董事會決議發行國內有擔保轉換公司債,
2020-11-04,18:01:27,6269,台郡,本公司董事會決議發行海外第四次無擔保轉換公司債,
2020-11-11,17:24:16,6655,科定,本公司董事會決議發行第一次有擔保轉換公司債,
2020-11-11,19:40:04,6655,科定,更正公告本公司董事會決議發行第一次有擔保轉換公司債,
2020-12-07,15:49:49,1316,上曜,"補正公告本公司董事會決議發行國內「第四次有擔保轉換公
司債」及「第五次無擔保轉換公司債」",
2020-12-07,16:57:51,5543,桓鼎-KY,本公司董事會決議發行國內第一次有擔保可轉換公司債,
2020-12-10,14:55:33,1815,富喬,本公司董事會決議發行國內第六次無擔保轉換公司債,
2020-12-14,17:30:04,8042,金山電,公告本公司董事會決議發行國內第六次無擔保轉換公司債,
2020-12-17,13:33:09,1781,合世,本公司董事會決議發行國內第三次有擔保轉換公司債,
2020-12-17,14:54:52,3631,晟楠,公告本公司董事會決議發行國內第三次有擔保轉換公司債,
2020-12-29,15:06:19,1781,合世,補充本公司董事會決議發行國內第三次有擔保轉換公司債,
2021-03-01,20:34:59,3711,日月光投控,"補充說明子公司環旭電子股份有限公司109年8月10日公告
董事會決議發行109年度無擔保可轉換公司債券",
2021-03-03,16:29:06,1805,寶徠,"本公司董事會決議發行國內第一次有擔保
轉換公司債案。",
2021-03-04,15:58:04,4746,台耀,公告本公司董事會決議發行第四次無擔保轉換公司債,
2021-03-12,16:16:31,3149,正達,補充公告本公司董事會決議發行國內第三次有擔保轉換公司債,
2021-03-17,16:02:59,4714,永捷,"本公司董事會決議發行國內第六次有擔保轉換公司債暨
國內第七次無擔保轉換公司債",
2021-03-18,20:16:26,6288,聯嘉,公告本公司董事會決議發行國內第二次無擔保可轉換公司債,
2021-03-19,18:02:59,6641,基士德-KY,"公告本公司董事會決議發行中華民國境內第一次無擔保
轉換公司債",
2021-03-19,18:41:25,2726,雅茗-KY,"公告本公司擬變更109年9月30日董事會決議發行
國內第二次有擔保轉換公司債",
2021-04-30,08:15:50,3708,上緯投控,"代子公司上緯新材料科技股份有限公司公告
董事會決議發行無擔保可轉換公司債",
2021-05-04,17:14:41,2618,長榮航,董事會決議發行本公司國內第五次無擔保轉換公司債,
2021-05-05,14:03:15,1598,岱宇,"公告本公司董事會決議發行國內第三次無擔保轉換公司債
(補充公告)",
2021-05-06,17:00:07,2482,連宇,本公司董事會決議發行國內第二次有擔保可轉換公司債,
2021-05-10,16:59:45,3042,晶技,本公司董事會決議發行國內第五次無擔保轉換公司債,
2021-05-26,16:49:51,6477,安集,公告本公司董事會決議發行國內第三次無擔保轉換公司債。,
2021-05-28,17:05:05,3708,上緯投控,公告董事會決議發行本公司國內第四次無擔保轉換公司債,
2021-05-28,16:31:12,2383,台光電,本公司董事會決議發行海外第一次無擔保可轉換公司債,
2021-05-28,17:03:37,3708,上緯投控,公告董事會決議發行本公司國內第三次有擔保轉換公司債,
2021-06-30,16:53:16,2618,長榮航,"補充說明本公司於110年5月4日公告董事會決議發行國內
第五次無擔保轉換公司債事宜",
2021-07-12,15:57:36,4714,永捷,"本公司董事會決議發行國內第六次有擔保轉換公司債暨
國內第七次無擔保轉換公司債(修正)",
2021-07-21,14:26:26,6203,海韻電,"公告本公司董事會決議發行
國內第一次無擔保轉換公司債",
2021-07-30,17:29:31,8473,山林水,公告董事會決議發行國內第二次無擔保轉換公司債,
2021-08-05,16:03:26,6578,達邦蛋白,公告本公司董事會決議發行國內第一次轉換公司債相關事宜,
2021-08-13,16:29:00,1909,榮成,"更正110/08/13公告本公司董事會決議發行國內第二次
無擔保轉換公司債",
2021-08-18,15:21:53,4912,聯德控股-KY,"公告本公司董事會決議發行中華民國境內第四次
無擔保轉換公司債",
2021-08-23,16:18:25,3576,聯合再生,"補充7/6本公司董事會決議發行國內第三次有擔保轉換公司債
之公告(補充受託人及資金用途)",
